release_date,title,budget,revenue
1973-07-20,Dillinger,1000000.0,2000000.0
1973-08-01,American Graffiti,777000.0,140000000.0
1973-08-08,Heavy Traffic,950000.0,1500000.0
1973-08-17,Enter the Dragon,850000.0,90000000.0
1973-10-02,Mean Streets,500000.0,3000000.0
1973-11-08,Robin Hood,15000000.0,32056467.0
1973-12-05,Serpico,3000000.0,29800000.0
1973-12-13,Papillon,12000000.0,53267000.0
1973-12-17,Sleeper,2000000.0,18344729.0
1973-12-25,The Sting,5500000.0,159616327.0
1973-12-26,The Exorcist,8000000.0,441306145.0
1974-02-07,Blazing Saddles,2600000.0,119500000.0
1974-03-27,The Great Gatsby,6500000.0,26533200.0
1974-04-05,The Sugarland Express,3000000.0,12800000.0
1974-04-07,The Conversation,1600000.0,4420000.0
1974-05-01,The Lords of Flatbush,160000.0,4000000.0
1974-06-20,Chinatown,6000000.0,30000000.0
1974-07-24,Death Wish,3000000.0,22000000.0
1974-08-21,The Longest Yard,2900000.0,43008075.0
1974-10-01,The Texas Chain Saw Massacre,85000.0,30859000.0
1974-10-18,Airport 1975,3000000.0,47000000.0
1974-11-15,Earthquake,7000000.0,79666653.0
1974-12-01,The Man with the Golden Gun,7000000.0,97572000.0
1974-12-14,The Towering Inferno,14000000.0,116000000.0
1974-12-15,Young Frankenstein,2800000.0,86273333.0
1974-12-20,The Godfather: Part II,13000000.0,47542841.0
1975-03-01,At Long Last Love,6000000.0,1500000.0
1975-03-13,Monty Python and the Holy Grail,400000.0,5028948.0
1975-03-19,Tommy,5000000.0,34251525.0
1975-04-16,Capone,970000.0,2000000.0
1975-04-27,Death Race 2000,300000.0,8000000.0
1975-05-21,The Return of the Pink Panther,5000000.0,41833347.0
1975-05-21,Breakout,1000000.0,16000000.0
1975-06-10,Love and Death,3000000.0,20173742.0
1975-06-18,Jaws,7000000.0,470654000.0
1975-08-08,"Farewell, My Lovely",2500000.0,2000000.0
1975-08-11,Dog Day Afternoon,1800000.0,46665856.0
1975-08-14,The Rocky Horror Picture Show,1200000.0,112892319.0
1975-09-04,Hard Times,2700000.0,5000000.0
1975-09-07,Bizim Aile,65700.0,214600.0
1975-10-11,Let's Do It Again,70000.0,11800000.0
1975-11-18,One Flew Over the Cuckoo's Nest,3000000.0,108981275.0
1975-12-18,Barry Lyndon,11000000.0,20000000.0
1975-12-25,Lucky Lady,13000000.0,24441725.0
1976-01-01,Tosun Pasha,64200.0,698200.0
1976-02-07,Taxi Driver,1300000.0,28262574.0
1976-03-31,Jackson County Jail,445000.0,2300000.0
1976-04-04,All the President's Men,8500000.0,70600000.0
1976-04-07,The Bad News Bears,35000000.0,35323292.0
1976-04-09,Family Plot,2000000.0,7900000.0
1976-04-23,Stay Hungry,5000000.0,24854765.0
1976-06-06,The Omen,2800000.0,60922980.0
1976-06-23,Logan's Run,9000000.0,25000000.0
1976-06-30,The Outlaw Josey Wales,3700000.0,31800000.0
1976-07-06,Cannonball,780000.0,1500000.0
1976-09-08,King Kong,23000000.0,90614445.0
1976-10-05,Marathon Man,6500000.0,21709020.0
1976-11-01,Network,3800000.0,23689877.0
1976-11-03,Carrie,1800000.0,33800000.0
1976-11-21,Rocky,1000000.0,117235147.0
1976-12-03,Silver Streak,6500000.0,51079064.0
1976-12-15,The Pink Panther Strikes Again,6000000.0,33833201.0
1976-12-16,A Star Is Born,6000000.0,161000000.0
1976-12-20,The Enforcer,9000000.0,46236000.0
1977-01-01,The Last Wave,810000.0,1258000.0
1977-02-09,Wizards,1200000.0,9000000.0
1977-02-25,Tentacles,750000.0,3000000.0
1977-03-11,Airport '77,6000000.0,30000000.0
1977-03-19,Eraserhead,10000.0,7000000.0
1977-04-19,Annie Hall,4000000.0,38251425.0
1977-05-25,Star Wars,11000000.0,775398007.0
1977-06-15,A Bridge Too Far,22000000.0,50750000.0
1977-06-17,Exorcist II: The Heretic,14000000.0,30749142.0
1977-06-22,The Rescuers,1200000.0,71215869.0
1977-06-24,Sorcerer,22000000.0,12000000.0
1977-07-07,The Spy Who Loved Me,14000000.0,185438673.0
1977-07-15,Sinbad and the Eye of the Tiger,3500000.0,16000000.0
1977-07-22,Orca: The Killer Whale,6000000.0,14717854.0
1977-07-22,The Hills Have Eyes,230000.0,25000000.0
1977-08-24,Kingdom of the Spiders,500000.0,17000000.0
1977-09-10,Damnation Alley,17000000.0,8720000.0
1977-11-16,Close Encounters of the Third Kind,20000000.0,303788635.0
1977-12-16,Saturday Night Fever,3500000.0,237113184.0
1977-12-21,The Gauntlet,5500000.0,26414658.0
1977-12-25,High Anxiety,3400000.0,31063038.0
1978-03-10,The Fury,5500000.0,24000000.0
1978-04-23,"Same Time, Next Year",118.0,19.0
1978-04-26,F.I.S.T.,11.0,11.0
1978-05-18,The Buddy Holly Story,1200000.0,14363400.0
1978-05-26,An Unmarried Woman,2515000.0,24000000.0
1978-06-01,Good Guys Wear Black,1000000.0,18300000.0
1978-06-09,Damien: Omen II,6800000.0,26518355.0
1978-06-16,Jaws 2,20000000.0,187884007.0
1978-06-27,Convoy,12000000.0,22765081.0
1978-07-07,Grease,6000000.0,181813770.0
1978-07-27,Animal House,2700000.0,141000000.0
1978-08-02,Eyes of Laura Mars,7000000.0,20000000.0
1978-09-02,Dawn of the Dead,650000.0,55000000.0
1978-09-12,Midnight Express,2300000.0,35000000.0
1978-10-06,Death on the Nile,7920000.0,14560084.0
1978-10-14,Watership Down,1000000.0,3713768.0
1978-10-24,The Wiz,24000000.0,21049053.0
1978-10-25,Halloween,300000.0,70000000.0
1978-11-01,Force 10 from Navarone,5000000.0,7230000.0
1978-11-14,Killer of Sheep,100000.0,362222.0
1978-11-15,The Lord of the Rings,4000000.0,30471420.0
1978-12-08,The Deer Hunter,15000000.0,50000000.0
1978-12-13,Superman,55000000.0,300218018.0
1978-12-19,Invasion of the Body Snatchers,3500000.0,24046533.0
1978-12-19,Every Which Way But Loose,5.0,85.0
1979-01-01,Prophecy,12000000.0,54000000.0
1979-01-21,Caligula,17500000.0,23438120.0
1979-02-08,The Warriors,4000000.0,22490039.0
1979-03-16,The China Syndrome,5900000.0,51718367.0
1979-03-28,Phantasm,300000.0,11988469.0
1979-04-12,Mad Max,400000.0,100000000.0
1979-05-24,Breaking Away,2300000.0,20000000.0
1979-05-25,Alien,11000000.0,104931801.0
1979-06-15,Rocky II,7000000.0,200182160.0
1979-06-15,The In-Laws,9000000.0,38200000.0
1979-06-22,Escape from Alcatraz,8000000.0,43000000.0
1979-06-26,Moonraker,34000000.0,210308099.0
1979-07-06,The Frisco Kid,9200000.0,9346177.0
1979-07-13,Tim,600000.0,809000.0
1979-08-03,More American Graffiti,2500000.0,15014674.0
1979-08-15,Apocalypse Now,31500000.0,89460381.0
1979-08-17,Life of Brian,4000000.0,20045115.0
1979-08-17,The Concorde... Airport '79,14000000.0,13015688.0
1979-10-17,The Black Stallion,2700000.0,37799643.0
1979-11-07,The Rose,9250000.0,29174648.0
1979-12-06,Star Trek: The Motion Picture,35000000.0,139000000.0
1979-12-13,1941,35000000.0,31755742.0
1979-12-18,Kramer vs. Kramer,8000000.0,106260000.0
1979-12-18,The Black Hole,20000000.0,35841901.0
1980-02-08,American Gigolo,4800000.0,22743674.0
1980-02-08,The Fog,1000000.0,21378361.0
1980-03-07,Coal Miner's Daughter,15000000.0,67182787.0
1980-03-28,When Time Ran Out...,20000000.0,3763988.0
1980-05-09,Friday the 13th,550000.0,59754601.0
1980-05-12,The Long Riders,10000000.0,15795189.0
1980-05-17,The Empire Strikes Back,18000000.0,538400000.0
1980-05-22,The Shining,19000000.0,44017374.0
1980-05-28,The Big Red One,4500000.0,7206220.0
1980-05-30,The Hollywood Knights,2500000.0,10000000.0
